,author_name,books_name
44,Ira Severin,['Lebkuchenküsse']
45,Sean M. Theriault,['The Gingrich Senators: The Roots of Partisan Warfare in Congress']
46,Ian Botham,"[""Botham's Book of the Ashes: A Lifetime Love Affair with Cricket's Greatest Rivalry""]"
47,Margaret Doody,['Aristotele e i misteri di Eleusi']
48,Rosalia Coci,['Aristotele e i misteri di Eleusi']
49,Beppe Benvenuto,['Aristotele e i misteri di Eleusi']
50,B. Batregzedmaa,['Очир эрхшээгч']
51,Mandy Stanley,['What Do You Do?']
52,Robert Burleigh,"[""It's Funny Where Ben's Train Takes Him""]"
53,Florence Dupre la Tour,['Cruelle']
54,Terence Conran,"[""Terence Conran's DIY By Design: Over 30 Projects To Make and More Than 100 Design Ideas For Every Room In Your Home""]"
55,Roger Dubern,"[""Terence Conran's DIY By Design: Over 30 Projects To Make and More Than 100 Design Ideas For Every Room In Your Home""]"
56,John McGowan,"[""Terence Conran's DIY By Design: Over 30 Projects To Make and More Than 100 Design Ideas For Every Room In Your Home""]"
57,Hugh Johnson,"[""Terence Conran's DIY By Design: Over 30 Projects To Make and More Than 100 Design Ideas For Every Room In Your Home""]"
58,Isser Woloch,"['Eighteenth-Century Europe: Tradition and Progress, 1715-1789']"
59,Gregory S. Brown,"['Eighteenth-Century Europe: Tradition and Progress, 1715-1789']"
60,Melanie Cusick-Jones,"[""Hope's Daughter""]"
61,Praveen Gupta,['BUSINESS INNOVATION in the 21st Century']
62,Dipak Jain,['BUSINESS INNOVATION in the 21st Century']
63,Sally Green,"['Half Bad (Half Life, #1)']"
64,Maya Cross,['Grace for Drowning']
65,Robert Walser,['Fairy Tales: Dramolettes']
66,Daniele Pantano,['Fairy Tales: Dramolettes']
67,James Reidel,['Fairy Tales: Dramolettes']
68,Reto Sorg,['Fairy Tales: Dramolettes']
69,Agatha Christie,"['A Murder is Announced', '4:50 From Paddington', 'Badortsmysteriet (Hercule Poirot, #8)', 'The Mysterious Affair at Styles (Hercule Poirot Book 1)', ""Mrs. McGinty's Dead"", 'Third Girl (Hercule Poirot, #35)', 'Pembunuhan di Pondokan Mahasiswa', 'Cat Among the Pigeons', 'Un Gato en el Palomar', 'Les Quatre', 'Death Comes as the End', 'Death In The Clouds', 'The Man in the Brown Suit', 'Murder on the Links', 'Den åpne graven (Hercule Poirot #2)', 'The Chocolate Box', 'Intriga em Bagdade', 'Crooked House', 'Poirot Investigates', 'As Dez Figuras Negras', 'Giorno dei morti', 'Asesinato en Mesopotamia', 'Cards on the Table (Hercule Poirot #15)', 'جريمة في القرية']"
70,Emilia Fox,"['A Murder is Announced', '4:50 From Paddington']"
71,Beatrix Potter,"['The tale of Jemima puddle-duck', 'A Treasury of Peter Rabbit and Other Stories']"
72,Harry Deane Willmott,['The tale of Jemima puddle-duck']
73,Friedrich Nietzsche,"['چنین گفت زرتشت', 'The Dawn of Day', 'Zur Genealogie der Moral', 'Philosophy in the Tragic Age of the Greeks', 'Iloinen tiede']"
74,drywsh ashwry,['چنین گفت زرتشت']
75,W.J. Burley,['Wycliffe and the Cycle of Death']
76,Shay Ray Stevens,['Lost: One Pair of Rose Colored Glasses']
77,Elaine Szewczyk,"[""I'm with Stupid""]"
78,Tracey Garvis-Graves,"[""L'isola dell'amore proibito""]"
79,Serena Lauzi,"[""L'isola dell'amore proibito""]"
80,M. Ageyev,['Roman Avec Cocaïne']
81,Ed Brubaker,"['Captain America: Winter Soldier (The Ultimate Graphic Novels Collection: Publication Order, #7)']"
82,John  Langan,['The Fisherman']
83,Jason Delgado,['Bounty Hunter 4/3: My Life in Combat from Marine Scout Sniper to MARSOC']
84,Chris  Martin,['Bounty Hunter 4/3: My Life in Combat from Marine Scout Sniper to MARSOC']
85,Catherine McKenzie,['Smoke']
86,Amy Raby,"[""Healer's Touch (Hearts And Thrones, #4)""]"
87,Lisa Clark O'Neill,"['Nemesis (Southern Comfort, #4)']"
88,Michel Faber,"['The Crimson Petal and the White', 'Some Rain Must Fall: And Other Stories']"
89,Heather Brewer,"['Twelfth Grade Kills (The Chronicles of Vladimir Tod, #5)', 'Soulbound (Legacy of Tril, #1)']"
90,Kate Mosse,"['Labyrinth (Languedoc Trilogy, #1)', 'Labyrinth (Languedoc, #1)']"
91,Kathleen Bryan,"['The Serpent and the Rose (War of the Rose, #1)']"
92,Chance Carter,['Bad Boy Daddy']
93,Anton Chekhov,"['Lugas', '\u202bداستان\u200cهای کوتاه ٢ : مجموعه آثار چخوف، جلد دوم', 'An Introduction to Fiction', 'The Seagull', 'السيدة صاحبة الكلب وقصص أخرى', 'Kirsebærhaven', 'باغ آلبالو']"
94,Wakoh Honna,['ノ・ゾ・キ・ア・ナ 8 [Nozoki Ana 8]']
95,Honna Wakou (Ben Ming  wakou),['ノ・ゾ・キ・ア・ナ 8 [Nozoki Ana 8]']
96,Rebecca Mead,['My Life in Middlemarch']
97,Mike   Evans,['Neil Young: The Definitive History']
98,Katia Novet Saint-Lot,"[""Amadi's Snowman: A Story of Reading""]"
99,Dimitrea Tokunbo,"[""Amadi's Snowman: A Story of Reading""]"
100,Jonathan Ashley,['The Cost of Doing Business']
101,J.S. Wilder,['The Belonging Series (Belonging #1-3)']
102,Jerry Siegel,"['Superman Archives, Vol. 2']"
103,Joe Shuster,"['Superman Archives, Vol. 2']"
104,Andrew  Grey,"['Love Means... Patience', 'Saving Faithless Creek']"
105,Beth Revis,['The Body Electric']
106,Yuu Asami,"['A.I. Revolution, Vol. 1']"
107,Andres Vidal,['The Dream of the City: A Novel']
108,Machado de Assis,"['روانکاو و داستان\u200cهای دیگر', 'Memorie postume di Brás Cubas']"
109,`bdllh khwthry,['روانکاو و داستان\u200cهای دیگر']
110,Blake Charlton,"['Czaropis Tom II (Czaropis, #2)']"
111,Gunnar Kopperud,['The Time Of Light']
112,Oliver Sacks,['On the Move: A Life']
113,Elise Desaulniers,"[""Vache à lait - Dix mythes de l'industrie laitière""]"
114,Douglas Preston,"['White Fire (Pendergast, #13)', 'The Obsidian Chamber (Pendergast #16)', 'Two Graves']"
115,Lincoln Child,"['White Fire (Pendergast, #13)', 'The Obsidian Chamber (Pendergast #16)', 'Two Graves']"
116,Feridun Zaimoglu,['Siebentürmeviertel']
117,Jeff Mann,['Fog']
118,Julian Davis,['Fog']
119,Garth Ennis,"['War Stories, Volume 3', 'War Stories, Volume 4']"
120,Tomas Aira,"['War Stories, Volume 3', 'War Stories, Volume 4']"
121,Keith Burns,"['War Stories, Volume 3']"
122,Matt Martin,"['War Stories, Volume 3']"
123,Mike Wolfer,"['Crossed, Volume 15']"
124,Steven Luna,"['The Afterlife (Joe Vampire, #2)']"
125,Adam Rakunas,['Windswept: Windswept Book One']
126,Simon Spurrier,"['Crossed + One Hundred, Volume 2 (Crossed +100 #2)']"
127,Fernando Heinz,"['Crossed + One Hundred, Volume 2 (Crossed +100 #2)']"
128,Rafael Ortiz,"['Crossed + One Hundred, Volume 2 (Crossed +100 #2)']"
129,DigiKore Studios,"['Crossed + One Hundred, Volume 2 (Crossed +100 #2)']"
130,Jaymes Reed,"['Crossed + One Hundred, Volume 2 (Crossed +100 #2)']"
131,Martin Cruz Smith,"['Polar Star (Arkady Renko, #2)']"
132,Jeon Geuk-Jin,"['The Breaker New Waves, Vol 11', 'The Breaker Volume 10', 'The Breaker Volume 9']"
133,Rebecca Podos,['Like Water']
134,Joseph E. Persico,['Piercing the Reich']
135,Cia Leah,"[""CARRIE'S MAIL ORDER HUSBAND""]"
136,N Gray,"[""What's for Dinner?""]"
137,Piers Platt,['Combat and Other Shenanigans']
138,Gregory Gerard,"[""In Jupiter's Shadow""]"
139,Rue Volley,['The Blood and Light Series (Blood and Light #1-6)']
140,Patrick Ness,"['A Monster Calls', 'Szólít a szörny', 'El cuchillo en la mano (El caos andante, #1)']"
141,Merri Vik,"['Katso eteesi, Lotta!']"
142,A.-M. Helminen,"['Katso eteesi, Lotta!']"
143,Evelyn Waugh,['The Loved One']
144,Justin Kairo,['Erotic Diaries of a Warlock: Book 1 of 3']
145,Vipin Behari Goyal,['Tirthraj Pushkar']
146,Gail Feichtinger,['Will to Murder: The True Story Behind the Crimes & Trials Surrounding the Glensheen Killings']
147,Gary Waller,['Will to Murder: The True Story Behind the Crimes & Trials Surrounding the Glensheen Killings']
148,John DeSanto,['Will to Murder: The True Story Behind the Crimes & Trials Surrounding the Glensheen Killings']
149,Dennis Milam Bensie,['One Gay American']
150,Charles Reasoner,"['Twinkle, Twinkle, Little Star', 'Itsy Bitsy Spider', 'Humpty Dumpty']"
151,Marina Le Ray,"['Twinkle, Twinkle, Little Star', 'Itsy Bitsy Spider', 'Humpty Dumpty']"
152,Meg Waite Clayton,['The Language of Light: A Novel']
153,Lewis Carroll,"[""Alice's adventures in Wonderland ; and, Through the looking-glass"", ""Alice's Adventures in Wonderland"", ""Alice's Adventures in Wonderland & Through the Looking-Glass"", ""Alice's Adventures in Wonderland"", ""Alice's Adventures in Wonderland"", 'Through the Looking Glass', ""Alice's Adventures in Wonderland""]"
154,Roberto Gervaso,"[""La regina, l'alchimista e il cardinale""]"
155,Jennifer Donnelly,"['Революция', 'A Northern Light', ""La strada nell'ombra""]"
156,Cathryn Hein,['The Falls']
157,Leila Lacey,['A Taste of Candy']
158,Jim C. Hines,['The Mermaid’s Madness']
159,Carol Monda,['The Mermaid’s Madness']
160,Bob Woodward,['خطة الهجوم']
161,bwb wwdwrd,['خطة الهجوم']
162,Shannon Drake,"['Princess of Fire (Fire, #1)']"
163,Claire  Smith,['No More Butterflies']
164,Oren Harman,['The Price Of Altruism: George Price and the Search for the Origins of Kindness']
165,P.J. Tracy,['Monkeewrench']
166,Buck Schirner,['Monkeewrench']
167,T.S. Eliot,"[""Growltiger's Last Stand and Other Poems"", 'The Cocktail Party', 'Notas Para A Definição De Cultura', 'The Waste Land and Other Poems']"
168,Errol Le Cain,"[""Growltiger's Last Stand and Other Poems""]"
169,John Brunner,"['Skynappers', 'The Long Result', 'The Jagged Orbit', 'Age of Miracles']"
170,D.M.J. Aurini,['As I Walk These Broken Roads']
171,Venice Kennedy,['Blackout in the Garden of Love (Love Blooms Series Vol#1)']
172,Fyodor Dostoyevsky,"['Crime and Punishment', 'The Idiot', 'O Jogador', 'Crime and Punishment', 'Notes from Underground & The Double', 'Bratje Karamazovi', 'Budala', 'Memorias del subsuelo', ""A Writer's Diary, Volume Two, 1877-1881"", 'Anteckningar från källarhålet']"
173,Constance Garnett,"['Crime and Punishment', 'Anna Karenina']"
174,Moussa Konate,"[""L'assassino di Banconi""]"
175,Ondina Granato,"[""L'assassino di Banconi""]"
176,Ji Qiu,"['จอมโจรคนงาม (วิวาห์บุปผางาม, #1)']"
177,cchiichiw,"['จอมโจรคนงาม (วิวาห์บุปผางาม, #1)']"
178,phrikh`m,"['จอมโจรคนงาม (วิวาห์บุปผางาม, #1)']"
179,Elizabeth Enright,"['The Saturdays', 'The Saturdays']"
180,Iain McGilchrist,['The Master and His Emissary: The Divided Brain and the Making of the Western World']
181,Edward Marston,"['Fire and Sword', 'Under Siege']"
182,R.L. Stine,"['Revenge Of The Living Dummy (Goosebumps HorrorLand #1)', 'Welcome to HorrorLand: A Survival Guide', 'کمد شماره13 - از سری کتابهای تالار وحشت شماره 2', 'Mary McScary', 'Say Cheese and Die! (Goosebumps, #4)', 'Monster Blood (Goosebumps, #3)']"
183,Desmond Barry,['The Chivalry of Crime: A Novel']
184,Debra Coleman Jeter,['The Ticket']
185,Marie Harte,"[""The Dragons' Demon: A Dragon's Dream (Ethereal Foes, #1)"", 'In Plain Sight (Cougar Falls, #2)']"
186,Haruki Murakami,"['De broodjesroofverhalen', '1Q84. Libro 1 e 2 aprile-settembre', 'Tvrdo kuhana zemlja čudesa i Kraj svijeta', 'برقص برقص', 'Sınırın Güneyinde Güneşin Batısında', '1Q84', 'การปรากฏตัวของหญิงสาวในคืนฝนตก', 'Baila, baila, baila', 'Tanz mit dem Schafsmann', 'Men Without Women', 'كافكا على الشاطئ', 'Los años de peregrinación del chico sin color', ""Where I'm likely to find it"", 'Hør vinden synge og Flipperspill 1973', 'Kafka on the Shore', '1Q84 : Livre 3 Octobre-Décembre']"
187,Kat Menschik,['De broodjesroofverhalen']
188,Jacques Westerhoven,['De broodjesroofverhalen']
189,Andrzej Sapkowski,"['Baptism of Fire', 'La espada del destino', 'La Espada del Destino (La Saga de Geralt de Rivia)']"
190,Kelley Harvey,['So. Long.']
191,mHmwd `wD,['أفكار ضد الرصاص']
192,Jean-Francois Revel,['Last Exit to Utopia: The Survival of Socialism in a Post-Soviet Era']
193,Diarmid Cammell,['Last Exit to Utopia: The Survival of Socialism in a Post-Soviet Era']
194,Guy de Maupassant,"['The Necklace and Other Short Stories', 'Horror Stories', 'Bel-Ami']"
195,Kirsty White,['The Wildest Dream (Forget-Me-Not)']
196,Neil deGrasse Tyson,"['StarTalk: Everything You Want to Know About Space Travel, Sci-Fi, the Human Race, the Universe and Beyond']"
197,Wendy Cheyette Lewison,['The Prince and the Potty']
198,Ilsa Madden-Mills,"['Very Bad Things (Briarwood Academy, #1)']"
199,Amber A. Bardan,['For Her Protection: An Alpha Romance']
200,Emile Zola,"['Nana', 'تريز راكان: الوحش في الإنسان']"
201,Diana Preston,['Lusitania: An Epic Tragedy']
202,Kader Abdolah,['Ο αγγελιοφόρος του Αλλάχ']
203,Edgar Rice Burroughs,"['Tarzan of the Apes (Tarzan, #1)', 'Tarzan and the Golden Lion (Tarzan, #9)', 'Pirates of Venus']"
204,JoAnna Carl,"['The Chocolate Clown Corpse (A Chocoholic Mystery, #14)']"
205,Helen Henderson,"[""Hatchling's Vengeance (Dragshi Chronicles #4)""]"
206,R.T. Stroud,['The Dead City Rollers']
207,Meir Shalev,['Štyri hostiny']
208,Oto Havrila,['Štyri hostiny']
209,Karin Slaughter,"['Triptych (Will Trent, #1)']"
210,Gerald Durrell,"['Viaje a Australia, Nueva Zelanda y Malasia']"
211,Julia Kent,"['Shopping for a Billionaire (Shopping for a Billionaire, #1)', 'Merry Random Christmas (Random #7)']"
212,Tanya Eby,"['Shopping for a Billionaire (Shopping for a Billionaire, #1)', ""Chasing Perfect (Fool's Gold, #1)""]"
213,Philip Van Doren Stern,['The Confederate Navy: A Pictorial History']
214,James Dunwoody Bulloch,"['The Secret Service of the Confederate States in Europe: or, How the Confederate Cruisers Were Equipped']"
215,Nicole Rollender,['Louder Than Everything You Love']
216,Chris Quinton,['Home and Heart']
217,Jeaniene Frost,['One for the Money (Night Huntress #4.5)']
218,David Anthony Durham,"['Anibal, El Orgullo De Cartago']"
219,Montserrat Gurgui,"['Anibal, El Orgullo De Cartago']"
220,Laura  Ward,"['The Color of Us (College Bound, #2)']"
221,Christine Manzari,"['The Color of Us (College Bound, #2)']"
222,Iris Morland,"[""If I Can't Have You (The Thorntons #3)""]"
223,Tom Spanbauer,['El hombre que se enamoró de la luna']
224,Juan Antonio Cebrian,['La aventura de los romanos en hispania']
225,MobiPoki,['How to Draw Manga Chibi']
226,Henri Troyat,"['Catalina La Grande', 'Tendre et violente Elisabeth (Les semailles et les moissons, #4)']"
227,Andy Cutbill,['FIRST WEEK AT COW SCHOOL']
228,Russell Ayto,['FIRST WEEK AT COW SCHOOL']
229,Irene Preston,['Bonfire (Hours of the Night #1.5)']
230,Liv Rancourt,['Bonfire (Hours of the Night #1.5)']
231,Maggie Pill,['Sleuthing at Sweet Springs (Sleuth Sisters #4)']
232,Allie Boniface,"['Beacon of Love (Hometown Heroes, #1)']"
233,Sarah Kuhn,"['Heroine Worship (Heroine Complex, #2)']"
234,Penelope Rowlands,"['The Beatles Are Here!: 50 Years after the Band Arrived in America, Writers, Musicians  Other Fans Remember']"
235,Casey Lawrence,"[""Out of Order (The Survivor's Club, #1)""]"
236,Lori Foster,"['Worth the Wait (Guthrie Brothers #2)', 'Corazón cautivo', 'Double the Pleasure']"
237,Charles Munch,['Ben Bir Orkestra Şefiyim']
238,Uner Birkan,['Ben Bir Orkestra Şefiyim']
239,Robbie Cheadle,['Sir Chocolate and the sugar dough bees story and cookbook']
240,Michael Cheadle,['Sir Chocolate and the sugar dough bees story and cookbook']
241,Clive Barker,"['Books of Blood 1 (Books of Blood #1)', 'Primal: From the Cradle to the Grave', 'Books of Blood, Volumes 4-6', 'The Damnation Game', 'Hellraiser']"
242,Lisa Jackson,"['Left To Die (To Die, #1)', 'Almost Dead', 'Revenge', 'Wicked Lies (Wicked, #2)', 'Devious']"
243,Alan Nebelthau,"['Left To Die (To Die, #1)']"
244,A.M. Myers,"['Collateral Damage (Hidden Scars, #2)']"
245,Fiona Buckley,"['To Shield the Queen (Ursula Blanchard, #1)']"
246,Benina,"['Milan könyve (Bíborhajú, #4)']"
247,Enid Blyton,"['The Queen Elizabeth Family (Family, #4)', ""Santa Clara: Todos los cursos (St. Clare's #1-6)"", 'Here Comes Noddy Again (Noddy classic library)']"
248,Geoff Le Pard,"['Life, in a Grain of Sand']"
249,Lora Leigh,"['Shameless Embraces (Bound Hearts, #6-7)']"
250,Marianne Fredriksson,['Дъщерите на Ханна']
251,Misha Defonseca,['Susilapsi']
252,Heli Kalliolevo,['Susilapsi']
253,E.C.R. Lorac,"['Shroud of Darkness (Robert MacDonald, #39)']"
254,J. New,"['An Accidental Murder (A Yellow Cottage Vintage Mystery, #1)']"
255,Lauren St. John,['The White Giraffe']
256,Donald M. Nicol,['Konstantinos Palaeologos']
257,Efe Kurtluoglu,['Konstantinos Palaeologos']
258,Joseph Brodsky,['Su Seviyesi']
259,Emre Aganoglu,['Su Seviyesi']
260,Ken Adelman,['Reagan at Reykjavik: Forty-Eight Hours That Ended the Cold War']
261,Sheri S. Tepper,"['The Visitor', 'Six Moon Dance']"
262,Lee Strauss,"['Volition (The Perception Trilogy, #2)']"
263,Elle Strauss,"['Volition (The Perception Trilogy, #2)']"
264,Scott Beatty,['Sherlock Holmes: Year One']
265,Daniel Indro,['Sherlock Holmes: Year One']
266,Tamara Morgan,"['Stealing Mr. Right (Penelope Blue, #1)']"
267,Naoki Urasawa,"[""Naoki Urasawa's 20th Century Boys, Volume 20 (20th Century Boys, #20)"", ""Naoki Urasawa's 20th Century Boys, Volume 19 (20th Century Boys, #19)"", '20th Century Boys, Libro 15: ¡Viva la Expo! (20th Century Boys, #15)']"
268,Carol Allan,['Gillian of the Chalet School']
269,Julie Johnston,['Little Red Lies']
270,Hanna van der Steen,"['Ennustus (Tähtisilmät, #1)']"
271,Don Paulson,['An  Evening at the Garden of Allah: A Gay Cabaret in Seattle']
272,Roger Simpson,['An  Evening at the Garden of Allah: A Gay Cabaret in Seattle']
273,Mira W.,['Masih Ada Kereta yang Akan Lewat']
274,Sophia Blackwell,['Into Temptation']
275,Amy Gash,"[""What the Dormouse Said: Lessons for Grownups from Children's Books""]"
276,Judith Viorst,"[""What the Dormouse Said: Lessons for Grownups from Children's Books""]"
277,Susan Kilbride,['The Pilgrim Adventure']
278,Julia Sykes,"['Dex (Impossible, #12)']"
279,Lauren Kate,"['Passion (Fallen, #3)', 'Fallen (Fallen, #1)', 'La última lágrima: Diluvio 1']"
280,Justine Eyre,"['Passion (Fallen, #3)', 'One Kiss From You']"
281,Lydia Dare,['In the Heat of the Bite (Regency Vampyre Trilogy #2)']
282,Sheila Baranoski,"['Cellular Spirits', 'Cellular Spirits']"
283,Ethan Stone,"['Flesh & Blood (Flesh, #2)']"
284,Jude Watson,"['Kao u grobu (39 tragova,  #4)', 'Legacy of the Jedi']"
285,Rich Tommaso,['She Wolf #1']
286,Missouri Dalton,['Vampirism And You! (Guidebook 01)']
287,Billy Cowie,['Passenger']
288,C.J. Redwine,['Deception (Defiance #2)']
289,Melissa de la Cruz,"['Wolf Pact, Part I (Wolf Pact, #1)', 'Angels on Sunset Boulevard']"
290,Hope Adams,"['Unleashing the Beast (Beast Trilogy, #1)']"
291,Ben Counter,['Endeavour of Will']
292,Rivi Jacks,['Sweetwater (The Kihn #1)']
293,Kelly James-Enger,"['Goodbye Byline, Hello Big Bucks: Make Money Ghostwriting Books, Articles, Blogs, and More, Second Edition']"
294,Lisa Kleypas,"['Desejo Subtil (Wallflowers, #1)', 'El diablo en primavera (Los Ravenel, #3)', 'Only in Your Arms : Dalam Pelukanmu (Vallerands, #1)', 'Dream Lake: Number 3 in series']"
295,Maki Minami,['Seiyuu-ka! 12']
296,Joel Miller,['The Revolutionary Paul Revere']
297,Rick Jarow,['The Ultimate Anti-Career Guide: The Inner Path to Finding Your Work in the World']
298,Kelley Armstrong,"['Personal Demon (Women of the Otherworld #8)', 'Lost Souls', 'Angel: Aftermath (Volume 5)', 'The Rising']"
299,Leslie Kelly,"['Slow Hands', 'Heat Wave: Rex on the Beach/Getting Into Trouble/Shaken and Stirred']"
300,Angie Smibert,"['The Forgetting Curve (Memento Nora, #2)']"
301,Jojo Moyes,"['Über uns der Himmel, unter uns das Meer', 'The Girl You Left Behind', 'Silver Bay', 'Predtým ako som ťa poznala', 'Foreign Fruit', 'Efter dig (Me Before You, #2)', 'Les yeux de Sophie']"
302,Stuart McLean,['Welcome Home: Travels in Smalltown Canada']
303,Jim Bakker,['I Was Wrong']
304,Ken Abraham,['I Was Wrong']
305,C. Aubrey Hall,"['The Call of Eirian (The Faelin Chronicles, #2)']"
306,Stanislaw Lem,"['Solaris: The Definitive Edition', 'Magnitud imaginaria', 'Astronauci (Stanisław Lem. Dzieła #22)']"
307,Bill Johnston,['Solaris: The Definitive Edition']
308,Alessandro Juliani,['Solaris: The Definitive Edition']
309,Bob Walker,['Hot Wacks Book XV: The Last Wacks (Hot Whack Books)']
310,Lee Lynch,['Toothpick House']
311,Peter  Edwards,"[""Hard Road: Bernie Guindon and the Reign of the Satan's Choice Motorcycle Club""]"
312,Seno Gumira Ajidarma,"['Jazz, Perfume & the Incident', 'Linguae']"
313,Gregory Harris,"['Jazz, Perfume & the Incident']"
314,Sloan Parker,"['More (More, #1)', 'I Swear to You']"
315,Tawny Weber,['Engel in schwarzem Leder']
316,Luis P. Gatmaitan,['Sandosenang Sapatos']
317,Beth Parrocha-Doctolero,['Sandosenang Sapatos']
318,Mike Austin,['Junkyard']
319,Elmore Leonard,"['Fire in the Hole: Stories', 'Road Dogs']"
320,Gillian Flynn,['The Grownup']
321,Charles Stross,"[""Neptune's Brood"", 'Palimpsest', ""The Year's Best Science Fiction: Nineteenth Annual Collection"", 'The Bloodline Feud: A Merchant Princes Omnibus']"
322,Rachel Bach,"[""Fortune's Pawn (Paradox, #1)""]"
323,Abdul Rahman Munif,['شرق المتوسط']
324,Mick Ukleja,['Who Are You? What Do You Want?']
325,Margaret Blake,['Shadows of the Past']
326,Noah Adams,['NPR Road Trips: Roadside Attractions: Stories That Take You Away...']
327,National Public Radio,['NPR Road Trips: Roadside Attractions: Stories That Take You Away...']
328,Anna Skaidrite Gailite,['Alīna. Likteņa celtā un likteņa gremdētā']
329,Carrie Brownstein,"['Hunger Makes Me a Modern Girl: A Memoir', 'Hunger Makes Me a Modern Girl']"
330,Ryan Loveless,['Last Chance Charlie']
331,Molly O'Keefe,"[""The Temptation of Savannah O'Neill""]"
332,Ilona Andrews,"['Bayou Moon (The Edge, #2)', 'Magic Bites (Kate Daniels, #1)']"
333,Becky Masterman,['Fear the Darkness']
334,Anne Bishop,['The Shadow Queen (The Black Jewels #7)']
335,Kit Rocha,"['Beyond Denial (Beyond, #2.5)']"
336,404 Ink,['Nasty Women']
337,Laura Lam,['Nasty Women']
338,Ren Aldridge,['Nasty Women']
