review_id,book_id,rating,review_text,date_added,title,genres,authors
11,25501128,4,"""4.5 Redeemed Stars! 
 Source: eARC for Honest Review Courtesy of Author and Book Enthusiast Promotions 
 Genre: NA Dark Romance 
 Part 4 of an ongoing series 
 My Kept From You Review . . . 
 Finally we get Killian 'Kite' Kane's story. And what a story it was. Killian for me has always been the mysterious dark horse in this series. Now we find out that there was quite the reason for Killian's dark side. However, we also find out what helps tame his inner beast. 
 Savannah AKA Savvy has her own past but she always finds the good bits in everyone. This is part of the gift and curse that is Savvy for Killian. He wants her to find the good in him, but he's also tortured enough to think he doesn't have any left and he doesn't deserve any good in his life. 
 ""Because if you come near me again, next time I won't let you go."" 
 Even though Killian was young when he met his savior, he always knew the potential of her. Which is part of the reason he let her go. Now years later and Savvy has walked back into his life. This time around he won't make the same mistake twice. 
 I absolutely loved Killian and Savvy together. Savvy was a strong kick ass heroine, while Killian was the most loyal protective man you could ask for. However, they both had their pasts to contend with. 
 Throughout the years, Killian still knew what Savvy was to him and held that dear and near to his dark heart. I loved this part of Killian that he kept for her. Nashoda Rose has such a gift at creating beauty in a darker world. Kept from You wasn't nearly as dark as some of the others. Actually it had more light and hope than the others which helped balance the series out. However, it's Killian's past and fears that create the darkness within him. The guys of Tear Asunder are all near and dear to my heart and I'm so thankful we finally got Killian's story. Thankfully we have a new character in town with Trevor, whom was Savvy's neighbor and we will soon get his story as well. Can't wait!""",2015-06-04 15:37:25,"Kept from You (Tear Asunder, #4)",romance,Nashoda Rose
12,18618994,4,"""4 Brad Loving Stars!!! 
 eARC for Honest Review from Author 
 Finally the conclusion to Brad and Julia. If you have not read the first two please be cautious of this review as their will be spoilers for the first two books. 
 Brad's fail safe solution of protecting Julia is with an engagement. At the end of book 2, I was thinking this engagement was out of love but I had a nagging feeling that it was only for her safety and I was concerned that Brad was going to go back to his man whore ways but Brad surprised me in this book. 
 Right from the beginning we get to realize that Brad is really all in with this relationship. He truly loves Julia. Throughout this book we get to feel and experience the depth of Brad's emotions and love towards Julia. 
 Julia loves Brad but she also wants some independence so she conforms to some notions but puts her foot down in others. She is fierce when it comes to Brad even when it comes to his family, her family, or her friends. 
 As the wedding gets closer temptations and pasts rear their ugly head. Julia's ex-fiance tries to make a dent into her plans but with his appearance it only solidifies her feelings for Brad. As Brad is trying to turn a new leaf he gifts Julia the strip club causing them to crash head on to Brad's past and potential weakness. 
 As my heart started to get palpitations wondering what Brad was going to do with temptation and I wanted to bitch slap Alexis with her antics causing me so much grief then Brad surprises Alexis and me. 
 Things are going as smooth as can be then be in the world of Brad and Julia they still find time to explore sexually, while they prepare for their wedding, evade bitchy friends and trying families. 
 Just when we think we are going to get our HEA the rug gets pulled under our feet. As Brad's world falls apart Julia fighting spirit comes to the forefront. However, not to spoil to much but we do get our HEA in the end. 
 I really did enjoy this series. It had so many different facets going on while a beautiful love story was blossoming. I loved the growth and depth of Brad. One of my weaknesses are man whores who succumb to love. It may not be the norm relationship, but it works for Brad and Julia and in the end that is all that matters. When the pivotal angst was happening in the book I did find that part a bit rushed which caused me to lose a bit of the dimension in that storyline but it didn't effect the whole series experience. 
 I am a big fan of Alessandra Torre and if you like Erotica with an edge and a little kink and drama then this is series worth the read. 
 For more reviews, visit Live Read and Breathe 
 Like us on Facebook Live Read and Breathe Facebook 
 Follow along with Twitter Live Read and Breathe Twitter""",2014-03-01 16:57:21,"End of the Innocence (Innocence, #3)",romance;fiction;mystery;thriller;crime,Alessandra Torre
13,17902302,4,"""Source: eARC for Honest Review from Penguin Via NetGalley 
 Finally, I have been in a reading funk lately with being bombarded with similar plots, formulas and story lines but this little number shook me out of it. It was different with an air of mystery and suspense in the background but still had a great love story. 
 Here we have Dahlia who has lived through a lot of sadness and loss but one constant she always had was Ben who also happened to be the love of her life. With Ben they have a huge once in a lifetime love being friends since they were kids growing into lovers and on their way to getting married....then the unthinkable happens and she has to live through another HUGE loss. 
 When Dahlia was still with Ben, she had a girls night out and during this night out with her best friend she meets a singer named River from a band who she is instantly drawn too but she does the right thing and goes back to her boyfriend and pushes thoughts of this singer to the back of her mind. 
 ""...All I know is, I was a young college girl who flirted with an insanely attractive guy at a bar and had to leave because she felt like the cosmic universe had crashed down on her. And she couldn't accept that; she had a boyfriend."" 
 Dahlia is having a hard time with the loss of Ben but with time and the support of her friends she is able to finally move on and start living again. Her first real step out into the world she runs right back into River from years gone past and their connection is as strong as ever. 
 River and Dahlia make up for lost time and their connection does nothing but grow and cements the two of them together. Dahlia has a hard time with this since these feelings are so new, different and stronger than she had with Ben but since Ben is gone she has to let go and move forward with River. 
 Now this love story is all and good and I adore it but the awesome part through the whole book is the undercurrents of secrets that you know are going to cause a world of shit for these two. There are so many elements that are going to be pulled together I assume in the next few books that can either strengthen or break River and Dahlia. But let me tell you that epilogue HOLY SHIT!!! SO was not what I expected but I LOVED that twist and I can NOT WAIT to read TORN to find out what happens with this new twist and how they play out with all the other undercurrents. 
 This books is a must read for me and I can't wait to read more from the series. 
 For more reviews, visit Live Read and Breathe 
 Like us on Facebook Live Read and Breathe Facebook 
 Follow along with Twitter Live Read and Breathe Twitter""",2014-02-07 14:23:03,"Connected (Connections, #1)",romance;fiction,Kim Karr
14,17668078,5,"""4.5 to 5 Loved it! 
 Oh My, Oh My I found this book by accident after one of my goodreads friends read it. I knew from her review that this book had to skip my queue and I am so happy that it did. 
 I loved this book. I loved every character. ALL OF THEM. (well maybe expect the bad guy) All of their interactions were fantastic. I was laughing, I was heating up (if you know what I mean), I was angst ridden, I was giddy, I was so many things from this book and I can NOT wait to see what happens with Allie and her dilemma. Could be potentially delicious. 
 You heart stops with Lucas's first smirk and you love Emma the moment she face plants the ground. 
 Their coupling was against the norm and that is why I loved them. One of things that I loved was that they were a strong couple throughout the book without all the extra petty miscommunication drama and relationship angst. The drama came from outside sources and while this was happening it was only making their relationship stronger. 
 This book has tattooed, pierced bad boys who steal your heart and fun loving friends and family to make you whole. 
 Lucas will definitely be making an appearance on book boyfriend monday. *swoon* 
 You can also find me on: 
 Live Read and Breathe Facebook 
 Live Read and Breathe Twitter 
 For more of my reviews: 
 Live Read and Breathe 
 Live Read and Breathe Giveaway for new followers""",2013-04-30 17:11:49,"Skin Deep (Skin Deep, #1)",romance;fiction;mystery;thriller;crime,J.M. Stone
15,32336119,4,"""Restaurant owner Violet and single father/barbecue phenom Hogan find their personal and professional lives entwined as they discover that the perfect mate is definitely worth waiting for. 
 Foster is my go to author for sweet sexy romance with just a smidge of suspense- she never lets me down. The main romance, secondary romance, & even a third young love story thread are all balanced perfectly. Fans- especially ones who enjoyed Don't Tempt Me should put this novel on their must read list. 
 Thank you to Harlequin and Netgalley for providing this ARC in exchange for an honest review.""",2017-03-29 05:56:39,Worth the Wait (Guthrie Brothers #2),romance;mystery;thriller;crime;fiction,Lori Foster
16,24357334,4,"""A great example of a New Adult romance romance novel- filled with real and emotional story lines, tough situations, wonderful relationship, and new experiences.""",2016-04-30 11:15:33,"Forever with You (Wait for You, #5)",romance;fiction;young-adult,J. Lynn;Jennifer L. Armentrout
17,23995290,4,"""Peter Caldwell is a chameleon, a deadly assassin, and a highly paid spy. He has killed hundreds of people and has successfully completed dozens of missions. And thanks to a brain implant that erased his memory after each job, he doesn't remember a thing about any of them- which is probably the only way he has remained sane for this long. Even with the little he knows about his own exploits, Peter realizes that his latest task is different- the kind of different that could end lives, civilizations, and even worlds. 
 This novel, which started out with a little bit of Jason Bourne, a little bit like the short story Paycheck, got even cooler once Caldwell and Melni really got started. Science fiction, espionage action, alternative history (of sorts), this novel was completely amazing and kept me breathless from the first page to the last. Every aspect of this story, from primary plot threads to minor elements are meticulously crafted to create a believable world that is just a shimmer away from ours. Highly recommended to sci-fi fans, action fanatics, and spy buffs.""",2015-12-30 15:43:30,Zero World,fiction;mystery;thriller;crime;fantasy;paranormal,Jason M. Hough
18,18634982,4,"""I obtained this ARC at BEA14, in exchange for an honest review. 
 Robin Trainer knows that being a popular television host is a precarious position- she has already fallen once, and had a long struggle to get back on top so she is adamant that nothing is going to throw her off the peak again. Unfortunately, her resolution is challenged when a malicious stalker seems to be watching her every move. The terror quickly escalates and goes from vague threats to more harmful actions as Robin struggles to reveal her enemy before the tricks turn deadly. 
 Kate White's latest standalone is a great read- the breathless first person narrative is appealing, it's cleverly plotted and fast paced, and readers will not know whom to trust. 
 I only had one minor complaint when I was done the love interest in the end had a stalkerish moment himself, with his conveniently mentioned volunteer work that was pushed aside when it wasn't convenient. Are we supposed to ignore that? Was it a hint that he's not to be trusted as well? Am I over-reading? I'm probably over-reading. """,2014-05-05 17:39:12,Eyes on You,mystery;thriller;crime;fiction;romance,Kate White
19,10063343,4,"""Yum! A great start to a new paranormal series by Sylvia Day. She has created an interesting new world, with angels, vampires, lycan and a lot of potential. Adrian borderlined on aggressively alpha but you won't hear me complaining, and Lindsay was a great mix of compassion, intelligence and strength. They make a great couple, with plenty of heart and sizzle. I'm absolutely on board for this new series.""",2011-12-16 16:08:42,"A Touch of Crimson (Renegade Angels, #1)",fantasy;paranormal;romance;fiction,Sylvia Day
20,19057,4,"""10th&up. After reading The Book Thief, I couldn't resist tracking down this earlier book by Zusak. I was taken aback at first; the rough edges of the story, the very European feel and the ridiculously unmotivated protagonist took some getting used to. When the first task was presented, I almost gave up on the book- it just wasn't what I was expecting, and the harshness of the fictional situation was a bit close to the edge for me. I am so glad I kept reading, however. By the end, I was fully immersed in Ed's story. The book is clever and touching, and this novel offers more proof that Zusak is a truly superior author- he can work magic on ordinary situations, he has a beautiful gift with language and he really makes a reader think. I also appreciate the way Zusak messed with the readers concept of the role of an author in a novel- kind of reminded me of the way he played with the readers expectations regarding a narrator in The Book Thief. Nothing is as you'd expect in Zusak's world, and I love that.""",2010-01-28 17:14:14,I Am the Messenger,young-adult;fiction;mystery;thriller;crime;romance;fantasy;paranormal,Markus Zusak
21,38568,3,"""The first in the Argeneau series- it was a lot of fun, the characters made me smile and there was even a little suspense thrown in for good measure.""",2009-04-25 08:34:20,A Quick Bite (Argeneau #1),fantasy;paranormal;romance;fiction,Lynsay Sands
22,17950614,4,"""First I wanna say that this is one of my favorite series of all time and this book was brilliant. But, that doesn't change the fact that I had major issues with the last 40 pages (Part 6) and the ending overall. Because of those issues, I'm giving it 4 stars. 
 In this book, it is clear things are getting worse and worse. The Storks are wreaking havoc all over the country, new propositions and bills are being put forth by the government to make unwinding an even more ordinary aspect of life. And in the midst are our main characters: Connor, Risa and Lev... (and all the other characters introduced throughout the series: Starkey, Hayden, Cam, Nelson, Argent, Grace, Sonia...etc). They are all working to their end goals, some sinister and some innocent. I loved the intensity of each chapter and how perfectly they were constructed and written. The characters were great, as usual, and definitely brought me back into the world. I loved the tough choices each character had to make and the consequences of those choices. There were moments where I cried and moments where I cheered. Everything seemed so perfect.... until Part 6. 
 Leading into Part 6, we experienced some heartbreaking stuff. Everything that happened seemed like the only possible outcome... It seemed to set up the chance for other, secondary characters to take the reins... but no. That's not how Neal Shusterman decided to do it. The next bit will be in spoilers.... 
 Lev wasn't killed by the cops beneath lady liberty. Connor was unwound but put back together like the unwind legend of Humphrey Dunfee. Sure, Connor learned to be more accepting of Cam thanks to his own process of rewinding. Sure, Lev got to see Miracolina again. But here's the thing... Lev was always meant to die. He repeatedly searched for ways to feel fulfilled and only discovered that feeling when he was gunned down. I don't understand how he could feel okay about surviving. I guess having Miracolina around made things okay...? Or was it his kinkajou that made things better? :P As for Connor... I felt like his survival was okay, simply because he learned more about Cam through the ordeal. We know things would have gone okay for the country without Connor... We know that the Parental Override bill was vetoed. I guess we just had to have Connor reunited with his parents... Whatever. I can handle his survival, but I'm not okay with Lev's. 
 As for the rest, I think letting both Lev and Connor live took Grace's accomplishment out of the spotlight, and I think she deserved the recognition for her work with the printer. 
 Una's wedding was so sad and yet beautiful. And the fact that her and Cam have developed some sort of connection... just... YES! :D 
 In the end, at least Starkey died and Nelson got his just desserts.  
 It seems I am the only one complaining about the ending of the book, and the series overall. But I truly loved the book, but I wish it had ended a bit more ... I don't know... gritty? In the end I could have given it less stars for my complaints, but I really enjoyed the rest of the book, which is why I gave it 4 stars.""",2014-09-02 01:29:48,"UnDivided (Unwind, #4)",young-adult;fiction;fantasy;paranormal;mystery;thriller;crime;romance,Neal Shusterman
23,186074,4,"""I have so many unanswered questions and I'm not even mad about it.""",2014-07-26 16:15:56,"The Name of the Wind (The Kingkiller Chronicle, #1)",fantasy;paranormal;fiction;young-adult;romance,Patrick Rothfuss
24,147843,3,"""I liked it. It reminded me of Tamora Pierce's novels actually: the heroine is a strong female called to do some great deed, there's a sprig of romance (not a main theme but it's not minor either), has the perfect blend of fantasy and adventure and keeps its readers turning the pages. All in all, it was wonderful.""",2012-11-08 03:19:40,"Green Rider (Green Rider, #1)",fantasy;paranormal;young-adult;fiction;romance;history;historical fiction;biography,Kristen Britain
25,23364895,4,"""I liked this book a lot - not quite as much as book one in the series, but it's a nice follow up. Tyler is a smart successful physician who keeps making the mistake of getting back together with his exes. He's determined to not do this with Memphis, his first love. But how can he resist the sexy stuntman/underwear model? Memphis comes across as a shallow caricature in the beginning, but his true depth is revealed. Tyler was a much more appealing character here than he was in book one.""",2016-12-08 12:14:18,"The Boyfriend Mandate (The Boyfriend Chronicles, #2)",romance;fiction,River Jaymes
26,676924,1,"""This book is so awful I can't even bring myself to review it. I don't want to think about it anymore, and it would basically be repeating a lot of things mentioned in my review of the first book. 
 I had a nightmare the other night that I'd accidentally bought the entire series. A nightmare.""",2012-11-13 13:45:30,"Betrayed (House of Night, #2)",romance;fiction;young-adult;fantasy;paranormal,P.C. Cast;Kristin Cast
